,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
Bias,-2.063095631406038,-3.078772656483079,-2.5517543722631526,-1.8388972923172755
Astronomy,-0.6242364349176818,-0.670175122415681,0.7440753038921758,2.292741713674729
Herbology,0.25166584460435854,-1.0084438130716664,-1.1059224015605256,1.1986766546272682
Divination,-0.12434052688955982,-1.9829465124895642,0.2073395013631042,0.5825393111832305
Muggle Studies,1.6588233662021596,-0.16277914601007096,0.08357223064806515,-0.7675862068089164
Ancient Runes,1.3021753742521067,-0.27575480149704357,1.209117153485148,-1.2225937603180248
History of Magic,0.4561045571498174,0.3762321546607871,-0.46033904677571286,1.3173953552160231
Transfiguration,0.7407426399619155,0.8859483888938418,-0.5920453560690124,1.1342804622828435
Potions,-0.0378854363162136,0.6187168740452637,0.03394414672151376,-0.4537856096331619
Charms,0.9604098665219449,-0.6060307823032419,-0.4724120873492812,-0.395965138885844
Flying,0.504122380832916,0.164671395914563,1.6974746344558707,0.25937546754726176
