,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
Intercept,-2.063287570122656,-3.0788073434043772,-2.5520687838842426,-1.8388829592073563
Astronomy,-0.624464741966938,-0.6703212314382505,0.7443042849008498,2.2933512675396535
Herbology,0.25185883114380936,-1.008757164081367,-1.105949425685199,1.1990943389344177
Divination,-0.124170438150705,-1.9833931123707813,0.20733507765369624,0.5828583811682815
Muggle Studies,1.659259154561865,-0.16288758565720005,0.08359387511805884,-0.7679508720254055
Ancient Runes,1.302604167440095,-0.27586086307541885,1.2093208094820216,-1.223022790955321
History of Magic,0.4562111718938695,0.3763633676720566,-0.46056281421729817,1.3176060095956752
Transfiguration,0.7407825699532463,0.8859578291388608,-0.5921832973696523,1.1345585737916541
Potions,-0.037470813648576996,0.6192221162904504,0.03407292694144696,-0.4537506138762894
Charms,0.9608654695161878,-0.6062151531642539,-0.47253639595043007,-0.3960284069103195
Flying,0.5042844803288459,0.16458781658576893,1.6977959764109343,0.2593535229606045
